artist,score,weighted_score,url
Miranda Cosgrove,1,1,https://www.youtube.com/watch?v=EgjhISZIi-Q
Musikanto,7,7,https://www.youtube.com/watch?v=saec2ivRqBw
DeVotchKa,6,6,https://www.youtube.com/watch?v=DH0ILg6yF_A
Rakta,5,5,https://www.youtube.com/watch?v=6-S4QjvtiCI
Fishbone,5,5,https://www.youtube.com/watch?v=Q_BVIcPOUlk
Watsky,2,2,https://www.youtube.com/watch?v=_Bo0Oo8bBXw
Edward Sharpe And The Magnetic Zeroes,1,1,https://www.youtube.com/watch?v=XWIvfE01J0k
Chris Pureka,4,4,https://www.youtube.com/watch?v=MZ-z4Qwj1uA
Hannibal Buress,1,1,https://www.youtube.com/watch?v=EAgUVOYc9zg
Nick 13,2,2,https://www.youtube.com/watch?v=buRcu32joLw
Daymé Arocena,1,1,https://www.youtube.com/watch?v=tKTQAGYo5hE
Counterparts,5,5,https://www.youtube.com/watch?v=dflBSaNeMMA
Billy Bragg & Wayne Kramer,1,1,https://www.youtube.com/watch?v=hzYB3U9pECs
Gaslamp Killer,1,1,https://www.youtube.com/watch?v=i6j5Vr5HLAY
Born Cages,4,4,https://www.youtube.com/watch?v=bFnBGL7_bnk
Hozier,1,1,https://www.youtube.com/watch?v=oLgZo6Qi3Uo
Prof,6,6,https://www.youtube.com/watch?v=t9gtJMZ6VOY
Fujiya & Miyagi,5,5,https://www.youtube.com/watch?v=7JdPY12gkL4
Samaris,15,15,https://www.youtube.com/watch?v=d9O4YhZ-Cws
Crowded House,1,1,https://www.youtube.com/watch?v=F9_YiqqQDTU
Allo Darlin',9,9,https://www.youtube.com/watch?v=tJU-OC9KP3s
Willy Mason,6,6,https://www.youtube.com/watch?v=oJAjZRsDwKI
Mountain Man,1,1,https://www.youtube.com/watch?v=RsbwBCgdcDA
Los Blenders,5,5,https://www.youtube.com/watch?v=UByF5rJS8ZQ
Sky Ferreira,1,1,https://www.youtube.com/watch?v=Qzviti625RY
Survival Knife,5,5,https://www.youtube.com/watch?v=YJQLs58w2o0
Ace Frehley (KISS),1,1,https://www.youtube.com/watch?v=qRJYkWxOQb8
Jamie Lidell,5,5,https://www.youtube.com/watch?v=nX9VXg-Mn88
Noura Mint Seymali,5,5,https://www.youtube.com/watch?v=sGAUv-ocPes
Linda Thompson,1,1,https://www.youtube.com/watch?v=cYqEzIEudqA
Avery*Sunshine,1,1,https://www.youtube.com/watch?v=xNEhfztkCdc
TOPAZ GANG,1,1,https://www.youtube.com/watch?v=v7OXDUo_47M
The Saxophones,1,1,https://www.youtube.com/watch?v=tQN-YNQu964
Delicate Steve,1,1,https://www.youtube.com/watch?v=57vvhrq2SNQ
Charlotte Gainsbourg,6,18,https://www.youtube.com/watch?v=lsYn4bi-tEs
The Ironclads,4,4,https://www.youtube.com/watch?v=1mdLEVvm3UI
DRAM,1,1,https://www.youtube.com/watch?v=HedhJ2rmxuo
Rahim AlHaj,4,4,https://www.youtube.com/watch?v=sBGpLmrue70
Ryan Hemsworth,1,1,https://www.youtube.com/watch?v=G5FzvLdCIlk
Skates!,5,5,https://www.youtube.com/watch?v=6xx-FjLbLwc
SOHN,5,5,https://www.youtube.com/watch?v=nnWQZ-0jeQU
Ben Stiller,1,1,https://www.youtube.com/watch?v=r8UNjMnvMso
Young Statues,7,7,https://www.youtube.com/watch?v=V006wqLfHis
The Maine,4,4,https://www.youtube.com/watch?v=bKdazNjFh3E
Mudhoney,20,40,https://www.youtube.com/watch?v=c7cpSmEAQbc
Love Is All,1,1,https://www.youtube.com/watch?v=t2yP72Fxvic
Vibragun,5,5,https://www.youtube.com/watch?v=O771PxI1lFs
Haley Bonar,9,27,https://www.youtube.com/watch?v=IeV-e_v1P18
Abandon Kansas,5,5,https://www.youtube.com/watch?v=sj4ktWQepCM
The Budos Band,6,12,https://www.youtube.com/watch?v=3d7sdjTC_Wc
Las Cafeteras,9,9,https://www.youtube.com/watch?v=x3kgOvt1fYU
Ledisi,2,4,https://www.youtube.com/watch?v=eu5jl_eRwQM
Lou Barlow,5,10,https://www.youtube.com/watch?v=9QlJLjCGpSQ
Don't Talk To The Cops!,2,2,https://www.youtube.com/watch?v=xO-7vgMl0F4
Danny Tamberelli,1,1,https://www.youtube.com/watch?v=M4IQwdMnb00
Cass McCombs,1,1,https://www.youtube.com/watch?v=cDm173LXX0s
Fresh Espresso,4,4,https://www.youtube.com/watch?v=csGqy4R2Vyw
Dead Ship Sailing,6,6,https://www.youtube.com/watch?v=mLn9aGeNtiQ
Best Coast,14,42,https://www.youtube.com/watch?v=RTWeQORFZCQ
Hermigervill,8,8,https://www.youtube.com/watch?v=M-xVqUJc_kk
Day Wave & Hazel English,1,1,https://www.youtube.com/watch?v=lOhZYvRBt5U
R.A. The Rugged Man,1,1,https://www.youtube.com/watch?v=yOJsIkZKu60
Modern Kin,5,5,https://www.youtube.com/watch?v=mG5B-gah_kM
Naked Giants,5,5,https://www.youtube.com/watch?v=Z5kgvfufOnE
Gina Chavez,1,1,https://www.youtube.com/watch?v=sRZi4QQEGBI
Omar Sosa & Paolo Fresu,1,1,https://www.youtube.com/watch?v=RJMQkye_YTw
Peter & Mia Frampton,1,1,https://www.youtube.com/watch?v=WShhKPJ_xmo
Dasher,5,5,https://www.youtube.com/watch?v=lPce7Adf_Dc
Unlikely Friends,5,5,https://www.youtube.com/watch?v=N740NkvvZRY
Ghosts I've Met,5,5,https://www.youtube.com/watch?v=TXXcJvyqW10
Arthur Shea,1,1,https://www.youtube.com/watch?v=NOfPVri7C0Y
Lost Lander,12,12,https://www.youtube.com/watch?v=MFXSH45sv54
Admiral of Black,8,8,https://www.youtube.com/watch?v=qtQhyXnmVC4
Gorgeous Bully,1,1,https://www.youtube.com/watch?v=zAUaCU_mt54
The Voidz,1,1,https://www.youtube.com/watch?v=LklpEpHX_Xc
Brooklyn Rider,1,1,https://www.youtube.com/watch?v=bWrVuKWs5Nw
Saul Williams,3,6,https://www.youtube.com/watch?v=eXfVIPqcF9I
Dreams West,1,1,https://www.youtube.com/watch?v=rTqlhhF-Iz0
Outrun the Sunlight,4,4,https://www.youtube.com/watch?v=_6q44cPndm4
Ode,1,1,https://www.youtube.com/watch?v=2CLq56RKNbM
Steal Shit Do Drugs,10,10,https://www.youtube.com/watch?v=hUxXMjE5rQA
Roomful Of Teeth,1,1,https://www.youtube.com/watch?v=iKuFujJq6zU
Royal Teeth,5,5,https://www.youtube.com/watch?v=pvA9TUKSdlM
Bowmont,1,1,https://www.youtube.com/watch?v=8UeuFF4YXjE
Kurt Braunohler,1,1,https://www.youtube.com/watch?v=mj89goAqHng
Florence and the Machine,5,10,https://www.youtube.com/watch?v=oW7Kdq3LPmc
William Bell,1,1,https://www.youtube.com/watch?v=vXUznxv0qF0
Garth Trinidad,1,1,https://www.youtube.com/watch?v=XNKHCvnzBJ8
"Barsuk 15 featuring Matthew Caws, Jesse Sykes & John Roderick",1,1,https://www.youtube.com/watch?v=_hjB06qwKcg
Ivan & Alyosha,19,38,https://www.youtube.com/watch?v=CybEu4rSdzo
The Very Best,5,5,https://www.youtube.com/watch?v=USToLclTnHc
All Them Witches,6,6,https://www.youtube.com/watch?v=jnMpu9c_-uQ
Guayaba,5,5,https://www.youtube.com/watch?v=Xnp1zjqI4Po
Celine Neon,5,5,https://www.youtube.com/watch?v=5btK1tM_-IY
Smoosh,4,4,https://www.youtube.com/watch?v=j90pLINVOZo
Semi Precious Weapons,7,21,https://www.youtube.com/watch?v=0seh9zbZAVU
Futurewife,4,4,https://www.youtube.com/watch?v=kJ1JqcysvFg
Field Music,6,12,https://www.youtube.com/watch?v=fS6LFmB3j40
Vusi Mahlasela,4,4,https://www.youtube.com/watch?v=JDmaJ8K2qYI
Frankie Broyles,1,1,https://www.youtube.com/watch?v=lIlN8ecbTnw
Chain Wallet,1,1,https://www.youtube.com/watch?v=Xl_terMB0Zg
The Death of Pop,1,1,https://www.youtube.com/watch?v=Zz1OV8hYSLk
Misty Coast,1,1,https://www.youtube.com/watch?v=P518gXpZi-U
Pentimento,5,5,https://www.youtube.com/watch?v=WnL25n_wmA8
Winston Jarrett,5,5,https://www.youtube.com/watch?v=4kQBZnruR-g
Kay Kay and His Weathered Underground,6,6,https://www.youtube.com/watch?v=5_dCVbI9tp8
Cristina Pato,1,1,https://www.youtube.com/watch?v=TX8QPtpLOfA
Paul Weller,8,32,https://www.youtube.com/watch?v=YrMK1PrvEB4
Matt Wertz,6,6,https://www.youtube.com/watch?v=PKPolxfdxKk
Kids and Animals,4,4,https://www.youtube.com/watch?v=c_eXTGyp4l4
Those Pretty Wrongs,5,5,https://www.youtube.com/watch?v=vKN-MFr4p9E
The Fresh and Onlys,1,1,https://www.youtube.com/watch?v=ndxKebsEvK8
Linda Perhacs,1,1,https://www.youtube.com/watch?v=IP0DFzxiIwA
Brendan Perry,2,2,https://www.youtube.com/watch?v=v1efFElGyOM
Meat Puppets,6,12,https://www.youtube.com/watch?v=xmiI6JntH0M
Seattle Rock Orchestra Quintet with Sin Fang,1,1,https://www.youtube.com/watch?v=NZ3ANKvLkPE
K'Naan,1,1,https://www.youtube.com/watch?v=AE-YaL0Y3bo
Chris Bathgate,1,1,https://www.youtube.com/watch?v=WRJXePSFApU
Kweku Collins,5,5,https://www.youtube.com/watch?v=n2gvg4BEY0s
The Slits,1,1,https://www.youtube.com/watch?v=_FT7hCdfaF0
Neulore,5,5,https://www.youtube.com/watch?v=IDkI6PfvLcw
The Palisades,5,5,https://www.youtube.com/watch?v=mGFdBBxGzIU
Lil B,1,1,https://www.youtube.com/watch?v=7Mmbb6lwatI
Iron And Wine,1,1,https://www.youtube.com/watch?v=6nT911jkWEo
Northern Faces,6,6,https://www.youtube.com/watch?v=SLVR_14RknQ
Arctic Monkeys,5,10,https://www.youtube.com/watch?v=vj77WwnCdHw
Miss May I,1,1,https://www.youtube.com/watch?v=RMzuGH4wxcU
Devendra Banhart,1,1,https://www.youtube.com/watch?v=H9qdKGchFXI
The Buttertones,1,1,https://www.youtube.com/watch?v=ui1D_Jr6RVk
Diane Cluck,1,1,https://www.youtube.com/watch?v=SyETsd-rKP8
Bleach03,1,1,https://www.youtube.com/watch?v=mrm0PHOFpMI
Jay Nash,6,6,https://www.youtube.com/watch?v=bEZELrntl6o
The Felix Culpa,5,5,https://www.youtube.com/watch?v=onEdNyaqpVY
The Family Crest,6,12,https://www.youtube.com/watch?v=EmQWye0Oe_M
ASTR,4,4,https://www.youtube.com/watch?v=76AsrrHh6qE
Casey Chaos (Amen),1,1,https://www.youtube.com/watch?v=DHgD4XRXHgk
Par-Ðar,4,4,https://www.youtube.com/watch?v=fV8T1JfiMEo
Júníus Meyvant,8,8,https://www.youtube.com/watch?v=YFphnhW_5c8
Hosannas,5,5,https://www.youtube.com/watch?v=vEtGnfloHus
Julieta Venegas,3,6,https://www.youtube.com/watch?v=-lLnpEv_9dw
Kansas Bible Company,4,4,https://www.youtube.com/watch?v=oOgnuV2Buog
Amandla Stenberg,1,1,https://www.youtube.com/watch?v=2-Ak_O3Lam8
T.S.O.L.,1,1,https://www.youtube.com/watch?v=I3EjhzBF3l0
A Balance Between,5,5,https://www.youtube.com/watch?v=vsX7t7GHnEE
Corinne Bailey Rae,1,1,https://www.youtube.com/watch?v=h--fvyPu5e4
Leisure,1,1,https://www.youtube.com/watch?v=jRTdcqb2PsU
The Floorwalkers,7,7,https://www.youtube.com/watch?v=i9Wgx0-26Bg
Choc Quib Town,4,4,https://www.youtube.com/watch?v=6mgQhOa4nks
Stroff,4,4,https://www.youtube.com/watch?v=ZMb0dj_U-tE
Buffalo Rodeo,7,7,https://www.youtube.com/watch?v=FoP8rlTrvY4
LoneLady,6,6,https://www.youtube.com/watch?v=sP6svVLr4Cw
Pepper Rabbit,4,4,https://www.youtube.com/watch?v=qra1SV4AgsA
Walking Papers,5,5,https://www.youtube.com/watch?v=nQZbt9vjT0Q
Father John Misty,17,51,https://www.youtube.com/watch?v=JYNFeWn6288
Markús & the Diversion Sessions,7,7,https://www.youtube.com/watch?v=EAF6T00XGNc
"Slaughter Beach, Dog",5,5,https://www.youtube.com/watch?v=zgl2nde3MRE
!!!,6,6,https://www.youtube.com/watch?v=NaxSo7n-wI4
Lina Tullgren,5,5,https://www.youtube.com/watch?v=lNb4fX-M1pE
Demetri Martin,1,1,https://www.youtube.com/watch?v=NtCy3bNINow
Jacob Bullard,1,1,https://www.youtube.com/watch?v=uD-pKXX96Ok
Eugene Mirman,1,1,https://www.youtube.com/watch?v=FeLnFsULARc
Mommy Long Legs,5,5,https://www.youtube.com/watch?v=i7g7mYoJC4w
Diane Warren,1,1,https://www.youtube.com/watch?v=BEv1NXhNwYs
Wizard Oz,1,1,https://www.youtube.com/watch?v=qSTO7L532NU
Casper Skulls,5,5,https://www.youtube.com/watch?v=CjWh0D3xaGA
Gone But Not,5,5,https://www.youtube.com/watch?v=UiO91orPYPc
Waxahatchee,11,33,https://www.youtube.com/watch?v=Oz1jDfj8i4o
Martin Hayes & Dennis Cahill,1,1,https://www.youtube.com/watch?v=o5hg3iuoJoM
JG Thirlwell,1,1,https://www.youtube.com/watch?v=7f6NJiKHFh8
Courtney Love,1,1,https://www.youtube.com/watch?v=sqivlbJ2myE
Eskmo,1,1,https://www.youtube.com/watch?v=j-Oc7NQqEjI
Isobel Campbell,1,1,https://www.youtube.com/watch?v=_tf04zv8PwE
Liquid Passion,1,1,https://www.youtube.com/watch?v=ghYrOwsmpsA
Dan Quayle,1,1,https://www.youtube.com/watch?v=TmsoLsnEs_0
Lean Year,2,2,https://www.youtube.com/watch?v=xk_LvltFmhY
Blouse,9,9,https://www.youtube.com/watch?v=EHbVjvxZ_dw
Adam Freeland,1,1,https://www.youtube.com/watch?v=Dfg0LdIh9n4
Books On Fate,5,5,https://www.youtube.com/watch?v=EnCCewxAkow
Shelby Earl & Tomo Nakayama,1,1,https://www.youtube.com/watch?v=hKkAYYlaYLA
Moses Hightower,12,12,https://www.youtube.com/watch?v=Sd5bUEnJp-k
R.O.E. (Rising Over Envy),6,6,https://www.youtube.com/watch?v=BR_0XgT0j0A
Madisen Ward And The Mama Bear,1,1,https://www.youtube.com/watch?v=k0nyFpcQl-Y
The Wilderness of Manitoba,5,5,https://www.youtube.com/watch?v=g2e_HitK3N8
Royale,10,10,https://www.youtube.com/watch?v=BwrChsTrwpc
Dave Depper,5,5,https://www.youtube.com/watch?v=oYM0JE_GJuc
Vinyl Gear 101,1,1,https://www.youtube.com/watch?v=13XITK8PyQU
John Doe with Mike McCready,5,5,https://www.youtube.com/watch?v=XE1Aw-qvC5w
Los Lobos,1,1,https://www.youtube.com/watch?v=uA3OFquOqJM
Hórmónar,4,4,https://www.youtube.com/watch?v=tsQFC1mvbaE
The Bros. Landreth,5,5,https://www.youtube.com/watch?v=1lcu7NWmM0c
Dyme Def,9,9,https://www.youtube.com/watch?v=gqZJDWJ4_gI
Elan Noon,1,1,https://www.youtube.com/watch?v=UwlBWBi1R-Y
Look Daggers,2,2,https://www.youtube.com/watch?v=p2WDbO2cCwE
Souad Massi,1,1,https://www.youtube.com/watch?v=so9Xt6eYoSI
edhochuli,5,5,https://www.youtube.com/watch?v=arEGdc1ZYQU
Oketo,6,6,https://www.youtube.com/watch?v=msnSayde5UQ
Nick Santino and the Northern Wind,5,5,https://www.youtube.com/watch?v=PBEMD0RtZ5E
Lemolo,18,36,https://www.youtube.com/watch?v=eaWRg2qvnQc
Grand Parc,5,5,https://www.youtube.com/watch?v=RuAwhYdc5hk
The Heavy,15,30,https://www.youtube.com/watch?v=s-mP8JZwaL8
So Many Dynamos,3,3,https://www.youtube.com/watch?v=gu7rbmhV15s
Daedelus,1,1,https://www.youtube.com/watch?v=Z_zIvFYQWig
Eternal Summers,5,5,https://www.youtube.com/watch?v=mZFT-aEIwQQ
Nail Polish,7,7,https://www.youtube.com/watch?v=gNmuVtudr9M
Nick Lowe,1,1,https://www.youtube.com/watch?v=JKhawkQQQmY
Goth Babe,2,2,https://www.youtube.com/watch?v=mmxtxyHyWmE
